condition_id,model,N_expected,N_ok,N_missing_fit,N_not_ok,prop_ok
1,NG,200,200,0,0,1
1,SG,200,200,0,0,1
2,NG,200,200,0,0,1
2,SG,200,200,0,0,1
3,NG,200,200,0,0,1
3,SG,200,200,0,0,1
4,NG,200,200,0,0,1
4,SG,200,200,0,0,1
5,NG,200,200,0,0,1
5,SG,200,200,0,0,1
6,NG,200,200,0,0,1
6,SG,200,200,0,0,1
7,NG,200,200,0,0,1
7,SG,200,200,0,0,1
8,NG,200,200,0,0,1
8,SG,200,200,0,0,1
9,NG,200,200,0,0,1
9,SG,200,200,0,0,1
10,NG,200,200,0,0,1
10,SG,200,200,0,0,1
11,NG,200,200,0,0,1
11,SG,200,200,0,0,1
12,NG,200,200,0,0,1
12,SG,200,200,0,0,1
13,NG,200,200,0,0,1
13,SG,200,200,0,0,1
14,NG,200,200,0,0,1
14,SG,200,200,0,0,1
15,NG,200,200,0,0,1
15,SG,200,200,0,0,1
16,NG,200,200,0,0,1
16,SG,200,200,0,0,1
17,NG,200,200,0,0,1
17,SG,200,200,0,0,1
18,NG,200,200,0,0,1
18,SG,200,200,0,0,1
19,NG,200,200,0,0,1
19,SG,200,200,0,0,1
20,NG,200,200,0,0,1
20,SG,200,200,0,0,1
21,NG,200,200,0,0,1
21,SG,200,200,0,0,1
22,NG,200,200,0,0,1
22,SG,200,200,0,0,1
23,NG,200,200,0,0,1
23,SG,200,200,0,0,1
24,NG,200,200,0,0,1
24,SG,200,200,0,0,1
25,NG,200,200,0,0,1
25,SG,200,200,0,0,1
26,NG,200,200,0,0,1
26,SG,200,200,0,0,1
27,NG,200,200,0,0,1
27,SG,200,200,0,0,1
28,NG,200,200,0,0,1
28,SG,200,200,0,0,1
29,NG,200,200,0,0,1
29,SG,200,200,0,0,1
30,NG,200,200,0,0,1
30,SG,200,200,0,0,1
31,NG,200,200,0,0,1
31,SG,200,200,0,0,1
32,NG,200,200,0,0,1
32,SG,200,200,0,0,1
33,NG,200,200,0,0,1
33,SG,200,200,0,0,1
34,NG,200,200,0,0,1
34,SG,200,200,0,0,1
35,NG,200,200,0,0,1
35,SG,200,200,0,0,1
36,NG,200,200,0,0,1
36,SG,200,200,0,0,1
37,NG,200,200,0,0,1
37,SG,200,200,0,0,1
38,NG,200,200,0,0,1
38,SG,200,200,0,0,1
39,NG,200,200,0,0,1
39,SG,200,200,0,0,1
40,NG,200,200,0,0,1
40,SG,200,200,0,0,1
41,NG,200,200,0,0,1
41,SG,200,200,0,0,1
42,NG,200,200,0,0,1
42,SG,200,199,0,1,0.995
43,NG,200,200,0,0,1
43,SG,200,200,0,0,1
44,NG,200,200,0,0,1
44,SG,200,200,0,0,1
45,NG,200,200,0,0,1
45,SG,200,200,0,0,1
46,NG,200,200,0,0,1
46,SG,200,200,0,0,1
47,NG,200,200,0,0,1
47,SG,200,200,0,0,1
48,NG,200,200,0,0,1
48,SG,200,200,0,0,1
49,NG,200,200,0,0,1
49,SG,200,200,0,0,1
50,NG,200,200,0,0,1
50,SG,200,200,0,0,1
51,NG,200,200,0,0,1
51,SG,200,199,0,1,0.995
52,NG,200,200,0,0,1
52,SG,200,200,0,0,1
53,NG,200,200,0,0,1
53,SG,200,200,0,0,1
54,NG,200,200,0,0,1
54,SG,200,200,0,0,1
55,NG,200,200,0,0,1
55,SG,200,200,0,0,1
56,NG,200,200,0,0,1
56,SG,200,200,0,0,1
57,NG,200,200,0,0,1
57,SG,200,200,0,0,1
58,NG,200,200,0,0,1
58,SG,200,200,0,0,1
59,NG,200,200,0,0,1
59,SG,200,200,0,0,1
60,NG,200,200,0,0,1
60,SG,200,200,0,0,1
61,NG,200,200,0,0,1
61,SG,200,200,0,0,1
62,NG,200,200,0,0,1
62,SG,200,200,0,0,1
63,NG,200,200,0,0,1
63,SG,200,200,0,0,1
64,NG,200,200,0,0,1
64,SG,200,200,0,0,1
65,NG,200,200,0,0,1
65,SG,200,200,0,0,1
66,NG,200,200,0,0,1
66,SG,200,200,0,0,1
67,NG,200,200,0,0,1
67,SG,200,200,0,0,1
68,NG,200,200,0,0,1
68,SG,200,200,0,0,1
69,NG,200,200,0,0,1
69,SG,200,200,0,0,1
70,NG,200,200,0,0,1
70,SG,200,200,0,0,1
71,NG,200,200,0,0,1
71,SG,200,200,0,0,1
72,NG,200,200,0,0,1
72,SG,200,200,0,0,1
73,NG,200,200,0,0,1
73,SG,200,200,0,0,1
74,NG,200,200,0,0,1
74,SG,200,200,0,0,1
75,NG,200,200,0,0,1
75,SG,200,200,0,0,1
76,NG,200,200,0,0,1
76,SG,200,200,0,0,1
77,NG,200,200,0,0,1
77,SG,200,200,0,0,1
78,NG,200,200,0,0,1
78,SG,200,200,0,0,1
79,NG,200,200,0,0,1
79,SG,200,200,0,0,1
80,NG,200,200,0,0,1
80,SG,200,200,0,0,1
81,NG,200,200,0,0,1
81,SG,200,200,0,0,1
82,NG,200,200,0,0,1
82,SG,200,200,0,0,1
83,NG,200,200,0,0,1
83,SG,200,200,0,0,1
84,NG,200,200,0,0,1
84,SG,200,200,0,0,1
85,NG,200,200,0,0,1
85,SG,200,200,0,0,1
86,NG,200,200,0,0,1
86,SG,200,200,0,0,1
87,NG,200,200,0,0,1
87,SG,200,200,0,0,1
88,NG,200,200,0,0,1
88,SG,200,200,0,0,1
89,NG,200,200,0,0,1
89,SG,200,200,0,0,1
90,NG,200,200,0,0,1
90,SG,200,200,0,0,1
91,NG,200,200,0,0,1
91,SG,200,200,0,0,1
92,NG,200,200,0,0,1
92,SG,200,200,0,0,1
93,NG,200,200,0,0,1
93,SG,200,200,0,0,1
94,NG,200,200,0,0,1
94,SG,200,200,0,0,1
95,NG,200,200,0,0,1
95,SG,200,200,0,0,1
96,NG,200,200,0,0,1
96,SG,200,200,0,0,1
97,NG,200,200,0,0,1
97,SG,200,200,0,0,1
98,NG,200,200,0,0,1
98,SG,200,200,0,0,1
99,NG,200,200,0,0,1
99,SG,200,200,0,0,1
100,NG,200,200,0,0,1
100,SG,200,200,0,0,1
101,NG,200,200,0,0,1
101,SG,200,200,0,0,1
102,NG,200,200,0,0,1
102,SG,200,200,0,0,1
103,NG,200,200,0,0,1
103,SG,200,200,0,0,1
104,NG,200,200,0,0,1
104,SG,200,200,0,0,1
105,NG,200,200,0,0,1
105,SG,200,200,0,0,1
106,NG,200,200,0,0,1
106,SG,200,200,0,0,1
107,NG,200,200,0,0,1
107,SG,200,200,0,0,1
108,NG,200,200,0,0,1
108,SG,200,200,0,0,1
