condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias
1,EG_MLmin,mu_bar[1],30,30,0.0023483595178396743,0.0023483595178396743,0.9333333333333333,0.029762539207435518,0.032737689900586696,-0.002975150693151178
1,EG_MLmin,mu_bar[2],30,30,-0.005844208867435055,-0.005844208867435055,0.9333333333333333,0.02953133756214722,0.027368043376525368,0.002163294185621851
1,EG_MLmin,phi11,30,30,2.8442475897651106e-4,7.110618974412777e-4,0.9333333333333333,0.002552755432105262,0.0023564798823252995,1.9627554977996254e-4
1,EG_MLmin,phi12,30,30,-5.969892627442797e-4,-0.005969892627442797,0.9666666666666667,0.002686620289505076,0.0020203727473143748,6.662475421907012e-4
1,EG_MLmin,phi21,30,30,-3.128836520425171e-5,-3.128836520425171e-4,1,0.0026357795319192105,0.0024709565175080324,1.6482301441117812e-4
1,EG_MLmin,phi22,30,30,2.665366372866129e-4,6.663415932165323e-4,0.9666666666666667,0.0024527503991880373,0.0024887973506517577,-3.604695146372039e-5
1,EG_MLmin,rho,30,30,-0.003419476759218193,-0.006838953518436386,0.9,0.013357541758717392,0.014104456903108324,-7.469151443909323e-4
1,EG_MLmin,tau_mu[1],30,30,0.01395297044657573,0.09301980297717154,0.8,0.02374061354512316,0.029642073248603174,-0.005901459703480015
1,EG_MLmin,tau_mu[2],30,30,0.00992019528951646,0.06613463526344307,0.9666666666666667,0.022633764757826847,0.015215167499027599,0.007418597258799248
1,NG_MLmin,mu_bar[1],30,30,0.007311665100822462,0.007311665100822462,0.9,0.0312320658577633,0.03220970132605168,-9.776354682883778e-4
1,NG_MLmin,mu_bar[2],30,30,-0.001114275384179967,-0.001114275384179967,1,0.03190647737016324,0.026604719128579004,0.005301758241584239
1,NG_MLmin,phi11,30,30,0.004295849971285968,0.01073962492821492,0.9333333333333333,0.0203231450542856,0.018203566445756658,0.002119578608528943
1,NG_MLmin,phi12,30,30,-0.0021858777440209197,-0.021858777440209195,1,0.019702719396074764,0.01825795896779796,0.0014447604282768027
1,NG_MLmin,phi21,30,30,0.005273637362669897,0.052736373626698974,0.9333333333333333,0.01987344902007114,0.020596789750519477,-7.233407304483366e-4
1,NG_MLmin,phi22,30,30,-0.006890110909081813,-0.017225277272704533,0.8333333333333334,0.020381819873047106,0.02650464063531182,-0.006122820762264714
1,NG_MLmin,rho,30,30,-0.05153302025577192,-0.10306604051154385,0.06666666666666667,0.015278597206435672,0.015453812975383507,-1.7521576894783536e-4
1,NG_MLmin,sigma[1],30,30,0.001763875959942281,0.001763875959942281,0.6333333333333333,0.013601349691648107,0.031097764667610984,-0.017496414975962875
1,NG_MLmin,sigma[2],30,30,0.007103510671601069,0.007103510671601069,0.7333333333333333,0.013593629775786173,0.024906314069047825,-0.011312684293261653
1,NG_MLmin,tau_mu[1],30,30,0.0018339249674812505,0.012226166449875004,0.9,0.030280117845257314,0.03245500613254414,-0.0021748882872868226
1,NG_MLmin,tau_mu[2],30,30,0.007143037774214818,0.047620251828098786,1,0.03034140852488651,0.02674992507882316,0.003591483446063349
2,EG_MLmin,mu_bar[1],30,30,-0.030770411426595933,-0.030770411426595933,0.6333333333333333,0.046757148215743095,0.07973315611664948,-0.032976007900906386
2,EG_MLmin,mu_bar[2],30,30,-2.489987330109573e-4,-2.489987330109573e-4,0.8333333333333334,0.04896018648386319,0.07390598236861183,-0.024945795884748642
2,EG_MLmin,phi11,30,30,-6.135626290934874e-4,-0.0015339065727337186,1,0.002600420275363659,0.001990984557083149,6.094357182805099e-4
2,EG_MLmin,phi12,30,30,-1.4235474914784386e-4,-0.0014235474914784385,0.9666666666666667,0.0025728907608077536,0.0023776311494800384,1.9525961132771516e-4
2,EG_MLmin,phi21,30,30,-7.508793910849738e-4,-0.007508793910849738,0.9,0.002447331123647437,0.0023195203542613054,1.2781076938613153e-4
2,EG_MLmin,phi22,30,30,4.964861204356667e-4,0.0012412153010891668,1,0.002460267071395774,0.0017532144702370133,7.070526011587609e-4
2,EG_MLmin,rho,30,30,2.7555867317163494e-4,5.511173463432699e-4,0.9666666666666667,0.013427816378110956,0.013739900754056032,-3.120843759450761e-4
2,EG_MLmin,tau_mu[1],30,30,0.19579331426938645,0.4894832856734661,0.3,0.10738584542773792,0.11243580039288517,-0.005049954965147249
2,EG_MLmin,tau_mu[2],30,30,0.2441260571239139,0.6103151428097847,0.26666666666666666,0.10594439449748876,0.1115608073230822,-0.005616412825593442
2,NG_MLmin,mu_bar[1],30,30,-0.019745374202294587,-0.019745374202294587,0.9666666666666667,0.06715083965125539,0.07378701435843142,-0.006636174707176035
2,NG_MLmin,mu_bar[2],30,30,0.0070862200122352274,0.0070862200122352274,0.9333333333333333,0.06821271197081552,0.07037194648734635,-0.002159234516530828
2,NG_MLmin,phi11,30,30,-0.0021509504214550076,-0.005377376053637519,0.9666666666666667,0.02046239754681125,0.01817999138579517,0.0022824061610160797
2,NG_MLmin,phi12,30,30,-0.0030225537577402914,-0.03022553757740291,1,0.020068174638417095,0.01789871547265392,0.002169459165763176
2,NG_MLmin,phi21,30,30,-0.004506691190630967,-0.04506691190630967,0.9,0.019983001071994078,0.022090191157577013,-0.002107190085582935
2,NG_MLmin,phi22,30,30,-7.609831469797323e-4,-0.0019024578674493309,0.9666666666666667,0.020586058148606565,0.02013226121974332,4.537969288632461e-4
2,NG_MLmin,rho,30,30,-0.038902988812107686,-0.07780597762421537,0.43333333333333335,0.015132299491143905,0.023860380156008575,-0.00872808066486467
2,NG_MLmin,sigma[1],30,30,-0.005916640665460741,-0.005916640665460741,0.6,0.013512917077334879,0.026047013520996167,-0.012534096443661288
2,NG_MLmin,sigma[2],30,30,-0.005383847879318834,-0.005383847879318834,0.6333333333333333,0.013539899772197472,0.025452991580937015,-0.011913091808739543
2,NG_MLmin,tau_mu[1],30,30,0.006518156914319656,0.01629539228579914,1,0.05319516620711868,0.041426977719505216,0.011768188487613462
2,NG_MLmin,tau_mu[2],30,30,0.011105953707035309,0.02776488426758827,0.9333333333333333,0.05365093279242983,0.053753047783123224,-1.0211499069339575e-4
